Address;Name;Id;Size;Fieldvalues.Values;AxisX.Values;AxisY.Values
1845008;Characteristic to Negative Border for Beschleuningungssollwer;ACCCD_aDesLimNeg_CUR;5x1;-4.05000 -3.85000 -3.45000 -3.05000 -3.05000;20.0000 30.0000 50.0000 70.0000 90.0000;
1845030;Characteristic to Positive Border for Acceleration scheduled value;ACCCD_aDesLimPos_CUR;5x1;2.05000 2.05000 2.05000 2.05000 2.05000;20.0000 50.0000 80.0000 120.0000 180.0000;
1845040;Defective time for Max-Error Of Dfp_ACCCD_mp;ACCCD_tiaDesMaxDebDef_C;1x1;480.0;;
1845042;healing time                                                                          for Max-Error Of Dfp_ACCCD_mp;ACCCD_tiaDesMaxDebOk_C;1x1;655350.0;;
1845044;Defective time for My-Error Of Dfp_ACCCD_mp;ACCCD_tiaDesMinDebDef_C;1x1;480.0;;
1845046;healing time                                                                          for My-Error Of Dfp_ACCCD_mp;ACCCD_tiaDesMinDebOk_C;1x1;655350.0;;
1845048;Offset On Negative acceleration limitation;ACCCD_aDesNegOffset_C;1x1;0.30000;;
1845050;Debounce regular error Acceleration;ACCCD_tiaDesDebDef_C;1x1;980.0;;
1845052;Healing time regular error Acceleration;ACCCD_tiaDesDebOk_C;1x1;655350.0;;
1845054;driver's desired acceleration At small Speeds or. im was;ACCCD_aDrvDem0_C;1x1;32.76700;;
1845056;Offset in Calculation the driver's desired acceleration;ACCCD_aDrvDemOfs_C;1x1;0.00000;;
1844388;Acceleration due to gravity;ACCCD_aGvtyGnd_C;1x1;9.81000;;
1844390;Correction longitudinal acceleration;ACCCD_aLongPhiCor_C;1x1;0.00000;;
1844344;Debounce for Brake fault;ACCCD_tiBrkErrDebDef_C;1x1;655350.0;;
1844346;Healing time for Brake fault;ACCCD_tiBrkErrDebOk_C;1x1;0.0;;
1844348;Debounce for Bremsenunplausibilität;ACCCD_tiBrkNPLDebDef_C;1x1;655350.0;;
1844350;Healing time for BrakeBremsenunplausibilität;ACCCD_tiBrkNPLDebOk_C;1x1;0.0;;
1845060;Ramp Rate for Reduction the Acceleration At activated GRA;ACCCD_daGRADwn_C;1x1;6.000000;;
1845064;Ramp Rate for Increase the Acceleration At activated GRA;ACCCD_daGRAUp_C;1x1;6.000000;;
1845068;Minimum Ramp Rate for Acceleration At activated ACC;ACCCD_daMin_C;1x1;0.500000;;
1845072;Offset pro second                                                                                for Amendment limiting Of ACCCD_facKpCorr_mp;ACCCD_dfacKpCorr_C;1x1;1.00000;;
1845076;differential offset for Minimum torque limit Calculation;ACCCD_dtrqBrkNeg_C;1x1;5000.000;;
1844408;Characteristic to Calculation the lengthwise acceleration correction;ACCCD_facATrnvrs_CUR;7x1;-0.40000 -0.25000 0.00000 0.00000 0.00000 -0.25000 -0.40000;-0.7500 -0.6000 -0.3000 0.0000 0.3000 0.6000 0.7500;
1845672;Share of Moment jump, the in thrust turn-off of engine by The Brake compensated will to;ACCCD_facBrkComp_C;1x1;0.00000;;
1844494;Characteristic to Calculation Of CoSine of Input angle in radians;ACCCD_facCosPhi_CUR;35x1;0.00000 0.04443 0.09949 0.14087 0.17395 0.34204 0.50000 0.64282 0.76599 0.86597 0.93970 0.96594 0.98474 0.98767 0.99451 0.99866 1.00000 1.00000 1.00000 0.99866 0.99451 0.98767 0.98474 0.96594 0.93970 0.86597 0.76599 0.64282 0.50000 0.34204 0.17395 0.12292 0.08679 0.03882 0.00000;-1.570800 -1.526100 -1.470800 -1.429300 -1.396000 -1.220000 -1.047000 -0.873000 -0.698000 -0.524000 -0.349000 -0.262000 -0.174000 -0.157000 -0.105000 -0.052000 -0.018000 0.000000 0.017000 0.052000 0.105000 0.157000 0.174000 0.262000 0.349000 0.524000 0.698000 0.873000 1.047000 1.220000 1.370500 1.429300 1.470800 1.526100 1.570800;
1844564;Drag coefficient;ACCCD_facCwVal_C;1x1;0.030500;;
1845080;Factor in Calculation the driver's desired acceleration;ACCCD_facDrvDem_C;1x1;1.00000;;
1844594;Map to correction calculation of drag coefficient;ACCCD_facEnv_MAP;6x6;0.71704 0.69104 0.66699 0.64404 0.62305 0.60303 0.81995 0.79004 0.76196 0.73596 0.71204 0.68896 0.92200 0.88794 0.85706 0.82800 0.80103 0.77502 1.03796 1.00000 0.96497 0.93201 0.90100 0.87195 1.12695 1.08606 1.04797 1.01196 0.97803 0.94702 1.22998 1.18506 1.14294 1.10400 1.06702 1.03296;-10.0 -0.0 10.0 20.0 30.0 40.0;700.00 800.00 900.00 1000.00 1100.00 1200.00
1845096;Characteristic to Correction Factor for I-value;ACCCD_facKiCorr_CUR;6x1;0.00000 0.00000 0.50000 1.00000 1.00000 1.00000;-700.80 -400.00 -200.00 0.00 100.80 200.00;
1845122;Correction factor for Integral factor for Traction;ACCCD_facKiPosCorr_CUR;6x1;3.99988 1.00000 1.00000 1.00000 1.50000 3.00000;-500.80 -200.00 0.00 200.00 400.00 1000.00;
1845148;Characteristic to Correction Factor for P-value;ACCCD_facKpCorr_CUR;6x1;0.00000 0.50000 0.75000 0.90002 1.00000 1.00000;-2000.00 -1000.00 -400.00 -200.00 0.00 200.00;
1845174;Correction factor for proportional factor for Traction;ACCCD_facKpPosCorr_CUR;6x1;2.00000 1.00000 1.00000 1.00000 1.00000 2.00000;-200.00 -100.80 0.00 49.60 100.80 249.60;
1844738;Characteristic to Calculation Of Sine of Input angle in radians;ACCCD_facSinPhi_CUR;35x1;-1.00000 -0.99902 -0.99500 -0.98999 -0.97998 -0.96997 -0.94995 -0.93005 -0.90002 -0.84998 -0.80005 -0.75000 -0.69995 -0.59998 -0.50000 -0.40002 -0.19995 0.00000 0.19995 0.40002 0.50000 0.59998 0.69995 0.75000 0.80005 0.84998 0.90002 0.93005 0.94995 0.96997 0.97998 0.98999 0.99500 0.99902 1.00000;-1.570800 -1.526100 -1.470800 -1.429300 -1.370500 -1.325200 -1.253200 -1.194400 -1.119800 -1.016000 -0.927300 -0.848100 -0.775400 -0.643500 -0.523600 -0.411500 -0.201400 0.000000 0.201400 0.411500 0.523600 0.643500 0.775400 0.848100 0.927300 1.016000 1.119800 1.194400 1.253200 1.325200 1.370500 1.429300 1.470800 1.526100 1.570800;
1845186;Factor for slow area                                                                             in Calculation the driver's desired acceleration;ACCCD_facTrqDrvMin_C;1x1;0.50000;;
1844822;Characteristic to Calculation of star propellant value;ACCCD_frStrtFrc_CUR;6x1;173.00 212.00 251.00 303.00 368.00 498.00;0.0000 30.0000 60.0000 100.0000 150.0000 250.0000;
1845202;Characteristic to Integral factor, Underlying for Brake application;ACCCD_IKiBrk_CUR;6x1;2.00002 2.00002 0.49989 0.49989 2.00002 2.00002;-2000.00 -1000.00 -200.00 200.00 1000.00 2000.00;
1845246;Map to Integral factor, Underlying for Traction;ACCCD_IKiPos_MAP;8x6;0.49989 0.49989 0.49989 0.49989 0.34994 0.09988 0.49989 0.49989 0.49989 0.49989 0.34994 0.20000 0.49989 0.49989 0.49989 0.49989 0.34994 0.29989 0.60000 0.60000 0.54995 0.49989 0.34994 0.34994 0.69989 0.69989 0.65006 0.54995 0.34994 0.34994 0.80001 0.80001 0.69989 0.60000 0.34994 0.34994 0.80001 0.80001 0.69989 0.60000 0.34994 0.34994 0.80001 0.80001 0.69989 0.60000 0.34994 0.34994;2.0000 3.3000 4.7000 6.5000 9.0000 12.0000;700.00 1000.00 1500.00 1750.00 2000.00 2500.00 3000.00 4000.00
1845342;Radius of vehicle wheel;ACCCD_lWhlRds_C;1x1;0.318800;;
1845344;rotarian correction material;ACCCD_mRtnlCor_C;1x1;0.000;;
1845346;equivalent weight the Radträgheiten;ACCCD_mRtnlWhl_C;1x1;0.000;;
1845348;rotarian Vehicle mass;ACCCD_mRtnl_C;1x1;0.000;;
1844834;Reference-Vehicle mass;ACCCD_mVehRef_C;1x1;1400.000;;
1844836;Tare More Driver and Fuel;ACCCD_mVehTare_C;1x1;1900.000;;
1844838;application worth                                                                     for Trailer mass;ACCCD_mVehTrail_C;1x1;750.000;;
1939596;PT1 Filter time constant to Filtering the time Derivation of desired wheel torque ACCCD_trqDes;ACCCD_tiTrqDesPT1_C;1x1;42950.000;;
1844912;Characteristic to Calculation of reverse slip angle of Input value;ACCCD_phiArcSin_CUR;35x1;-1.570800 -1.526100 -1.470800 -1.429300 -1.370500 -1.325200 -1.253200 -1.194400 -1.119800 -1.016000 -0.927300 -0.848100 -0.775400 -0.643500 -0.523600 -0.411500 -0.201400 0.000000 0.201400 0.411500 0.523600 0.643500 0.775400 0.848100 0.927300 1.016000 1.119800 1.194400 1.253200 1.325200 1.370500 1.429300 1.470800 1.526100 1.570800;-1.00000 -0.99902 -0.99500 -0.98999 -0.97998 -0.96997 -0.94995 -0.93005 -0.90002 -0.84998 -0.80005 -0.75000 -0.69995 -0.59998 -0.50000 -0.40002 -0.19995 0.00000 0.19995 0.40002 0.50000 0.59998 0.69995 0.75000 0.80005 0.84998 0.90002 0.93005 0.94995 0.96997 0.97998 0.98999 0.99500 0.99902 1.00000;
1844982;Maximum plausible road gradient;ACCCD_phiRoadMax_C;1x1;0.800000;;
1845362;Additives P-Factor At Transgression of Delay limit;ACCCD_PKpBrkLim_CUR;5x1;0.00000 1.00000 2.00000 3.00000 3.99988;-0.10000 0.00000 0.10000 0.20000 0.30000;
1845386;Characteristic to proportional factor for Rules, Underlying for Brake application;ACCCD_PKpBrk_CUR;6x1;1.00000 0.50000 0.19995 0.19995 0.50000 1.00000;-2000.00 -1000.00 -200.00 100.80 600.00 2000.00;
